XeroKeySupply,XeroKeySupplyAndInstall,Supplier,Brand Name,Product Name,Application,R-Value,Thickness (mm),Length (mm),Width (mm),Coverage/Unit ,Coverage Unit,Unit,Pack Unit,Pieces/Unit,Units/pack,Coverage/pack,Density (kg/m³),Cost/Coverage Unit,Cost/Unit,Cost/Pack,S Cost/Unit,S+I Timber/Coverage Unit,S+I Steel/Coverage Unit,Retrofit (existing ceiling) S+I/Coverage Unit,Subfloor S+I/Coverage Unit,Retrofit (Subfloor) S+I/Coverage Unit,Notes,Keywords
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R7.0,285,1160,580,3.36,m²,Bag,Bale,5,8,26.88,13.5,14.15,47.58,,71,25,26,32,,,5 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R7.0,285,1160,430,2.49,m²,Bag,Bale,5,8,19.92,13.5,14.15,35.28,,53,25,26,32,,,5 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R6.0,278,1160,580,4.71,m²,Bag,Bale,7,8,37.68,9,9.33,43.93,,66,15.3,16.3,26,,,7 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R6.0,278,1160,430,2.99,m²,Bag,Bale,6,8,23.92,9,9.33,27.92,,42,15.3,16.3,26,,,6 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R5.0,230,1160,580,5.38,m²,Bag,Bale,8,8,43.04,9.5,8.06,43.36,,65,13.9,14.9,22,,,8 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R5.0,230,1160,430,3.99,m²,Bag,Bale,8,8,31.92,9.5,8.06,32.15,,48,13.9,14.9,22,,,8 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R4.1,195,1160,580,7.4,m²,Bag,Bale,11,8,59.2,8.5,5.89,43.62,,65,11.1,12.1,18,20,33,11 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R4.1,195,1160,430,5.99,m²,Bag,Bale,12,8,47.92,8.5,5.89,35.28,,53,11.1,12.1,18,20,33,12 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R3.5,165,1160,580,8.07,m²,Bag,Bale,12,8,64.56,8.5,4.92,39.72,,59,10,11,17,18.5,29,12 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R3.5,165,1160,430,6.98,m²,Bag,Bale,14,8,55.84,8.5,4.92,34.36,,52,10,11,17,18.5,29,14 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
